post_number,username,name,created_at,content,reply_to_post_number,like_count,post_url
58,alexander_lipkin,Alexander Lipkin,2026-06-11T07:57:24.534Z,"Hi Pinterest team,

My app “utopia milano agent” has Trial access active,

and the upgrade request to Standard access has been pending for a while.

The app publishes organic Pins for my own photography business account

(@alexander_lipkin) — content publishing and analytics only, single user.

I have a complete demo video of the full OAuth flow ready (authorization

screen → Allow → token exchange → successful production API calls to

/user_account and /boards), and can provide it if needed.

Could you please check the status of my request or let me know if

anything else is required?

Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/58
59,postershop_dk,Postershop Dk,2026-06-11T12:05:21.937Z,"Hello Pinterest Developer team,

I would like to kindly request a review of my Trial access application.

App name: Postershop Pin Engine

Submitted: June 10, 2026

Developer purpose: App for my own organization/personal use only

Use cases: Pin creation & scheduling, Reporting

Requested scopes: pins:read, pins:write, boards:read, boards:write, user_accounts:read

Audience: Content creators (managing organic pins for my own webshop postershop.dk, which is connected to my Pinterest business account as verified merchant)

The app is currently in “Trial access pending” status and the App secret key field is locked. We are eager to test the API properly (and to subsequently apply for Standard access with the required OAuth demo video).

Could you please review and approve it? Thank you very much!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/59
60,PinterestIvania,Ivânia,2026-06-11T17:02:40.282Z,"@muggalicious @akinbolawa90 @jolt @americanwesternwalls @TheUnfoldingJapan @emily12981 @alexander_lipkin @postershop_dk

Hi all, welcome to the Community and thank you for taking the time to share details about the situation each of you are facing!

Although we can’t share an exact turnaround time at this time, our team is actively reviewing your requests and will follow up as soon as possible.

Thank you for your understanding and patience. If any questions come up in the meantime, please feel free to reach out.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/60
61,sanikbofficial,Sanikbofficial,2026-06-12T07:52:44.421Z,"Hi, requesting trial access activation

Account type: Business

Use case: We run SANIKB (https://sanikb.com), a kitchen & bath fixtures store. We want to publish our own product Pins to our own boards via the v5 API to promote our catalog.

Scopes needed: pins:read, pins:write, boards:read, boards:write

The App secret currently shows “Unavailable while trial access denied” and generated tokens are read-only. Could you please review and activate trial access? Thank you.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/61
62,rosebaieparis,Rosebaieparis,2026-06-11T20:21:07.737Z,"Hello Pinterest Developer Support,

My app has been stuck in “Trial access pending” since June 1, 2026 (10+ days).

App name: Rosebaie Ads Reporting

Company: ROSEBAIE PARIS

Website: https://www.rosebaie.com/

Current issues:

App secret is unavailable (“Unavailable while Trial access pending”)

All v5 Ads API requests return:

{“code”:3,“message”:“Your application consumer type is not supported, please contact support.”}

Use case:

Internal read-only tool that pulls analytics from our own Pinterest Ads

account — campaigns, spend, impressions,

clicks, conversions — to generate a daily internal performance report.

No posting, no third-party data access.

The app details (company name, website, privacy policy, purpose) are

fully completed. Could you please review and activate Trial access,

or let me know if anything is missing?

Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/62
63,Kreslo_Relax,Kreslo Relax,2026-06-11T18:24:51.758Z,"Hello Pinterest team,

I have two business apps that appear to be stuck in “trial access pending” and cannot make any API calls.

Symptoms (both apps):

Every Pinterest API v5 endpoint returns HTTP 401, code 3: “Your application consumer type is not supported, please contact support.” This happens on both production (api.pinterest.com) and sandbox (api-sandbox.pinterest.com).

The App secret shows “Unavailable while trial access is pending.”

I generated an access token from the dashboard (both the Limited production and the Sandbox environments). Every endpoint, including GET /v5/user_account, still returns the same 401 “consumer type” error.

Use case (own-business only):

I publish my own content (images and videos) to my own Pinterest business accounts on a schedule, and I read analytics for my own pins. No third-party or agency use.

Privacy policy: Политика конфиденциальности — mnogoGPT

Redirect URI: https://mnogogpt.ru/pin-oauth/callback.php

Could you please review and activate Trial access for both App IDs

Thank you very much!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/63
64,PinterestFernanda,Fernanda,2026-06-12T08:42:52.045Z,"Hi @sanikbofficial, @rosebaieparis and @Kreslo_Relax! Welcome to the PBC!

We don’t have an exact turnaround time, but our team will review your requests and respond ASAP!

This post by @PinterestHaley includes additional info on developer app approvals.

Thanks for your patience with this! Please let us know if you have any questions in the meantime.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/64
65,annalorekfoto,Annalorekfoto,2026-06-12T16:52:28.657Z,Hi @PinterestAnna @PinterestFernanda - is there any new news on the API approval?,44,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/65
66,million_hot,Million Hot,2026-06-13T11:18:29.763Z,"Hello Pinterest Developer team,

I would like to kindly request a review of my Trial access application.

App name: my_postiz_app

Submitted: June 31, 2026

Developer purpose: App for my own organization/personal use only

Use cases: Pin creation & scheduling, Reporting

Requested scopes: pins:read, pins:write, boards:read, boards:write, user_accounts:read

The app is currently in “Trial access pending” status and the App secret key field is locked.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/66
67,Remontostroy,Remontostroy,2026-06-12T18:57:53.552Z,"Dear Pinterest Developer Support Team,

I am writing to kindly request an update and possible acceleration of the review process for my applications submitted on June 2nd. I am seeking test (sandbox) access to the Pinterest API.

I have carefully reviewed Pinterest’s API guidelines and prepared all the required information for testing. I understand that reviews take time, but as a business user, I would greatly appreciate any help to move the process forward so I can begin integrating and testing with the API.

If there is any additional information or action required from my side, please let me know. Thank you for your time and support.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/67
68,holdmomentscontact,Holdmomentscontact,2026-06-13T21:22:24.067Z,"Hi,

My API app is stuck on “trial access pending”:

The app secret shows “Unavailable while trial access pending”.

Only read scopes are available (pins:read, boards:read, user_accounts:read,

ads:read, catalogs:read) — there’s no pins:write or boards:write.

I want to publish Pins to my OWN business account automatically — my own

products only, fully compliant, no scraping or spam.

Questions:

How do I move from trial access to Standard access to get pins:write and

boards:write?

Why is the app secret unavailable while trial access is pending — is approval

required first, and roughly how long does it take?

Is there a form or use-case description I need to submit?

Thanks!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/68
69,seanmwill2468100001,Seanmwill2468100001,2026-06-14T06:08:55.110Z,"Hi Pinterest team,

I’d appreciate a review of my app for Trial access.

App name: Zeva

Status: “Trial access pending”

My app lets businesses connect their own Pinterest account and publish Pins

they create in Zeva, with their approval — standard create/read of boards and

Pins on the user’s own account via the v5 API. All app details are complete

(icon, description, privacy policy, terms, and a verified company website, all

filled in the app settings), and it’s been pending review for a while.

Could you please review it for Trial access when you have a chance? Happy to

provide any additional info you need.

Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/69
70,hadanoteofficial,Hadanoteofficial,2026-06-14T08:17:21.877Z,"My app (App name: Hadanote - Skincare Media for Women in their 30s-50s) is stuck in trial access pending state.

I have a valid OAuth token but all v5 endpoints return 401 error: “consumer type is not supported” (code 3).

Could you please activate trial access for my app?

Thank you.

My app (App name: 肌研究ノート｜30〜50代女性向けのスキンケアメディア) is stuck in trial access pending state.

I have a valid OAuth token but all v5 endpoints return 401 error: “consumer type is not supported” (code 3).

Could you please activate trial access for my app?

Thank you.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/70
71,holisticsouljourney,Holisticsouljourney,2026-06-14T14:33:12.778Z,"Dear Support, I submitted my Standard Access application and was wondering if @PinterestHaley could take a look at my request. Looking forward to using the API Many thanks! Kind Regards MouniYadhul",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/71
72,partydressesaustralia,Partydressesaustralia,2026-06-15T07:55:45.764Z,"Hi Pinterest Developer team,

I’d like to kindly request a review of my pending Trial access application.

App name: Party Dresses Australia App

Business account: partydressesaustralia

Website: partydresses.com.au

Developer purpose: For my own organisation / personal business use only — this is not a third-party or multi-user app.

Use case: I run a small Australian party-dress affiliate website. I want to use the Pinterest API solely to schedule and publish pins of my own blog content to my own Pinterest business account, to promote my posts consistently. The app only ever acts on behalf of my own account.

Requested scopes: pins:read, pins:write, boards:read, boards:write, user_accounts:read

The application has been in “Trial access pending” status for around two weeks, and the App secret key is currently unavailable while it stays pending. Could you please review when you have a chance? Happy to provide any further details you need.

Thank you for your time.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/72
73,yuki88231910,Yuki88231910,2026-06-15T07:55:48.974Z,"Hi team,

My newly created app (“Japan Finds”) returns 401

“Your application consumer type is not supported, please contact support”

on all v5 endpoints. The app secret shows trial access pending.

Could you please activate trial access.

Use case: posting my own curated Japanese-product pins to my own board

(scopes: pins:write, boards:read). Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/73
74,akinbolawa90,Akinbolawa90,2026-06-15T08:17:55.870Z,"Hello Team,

Please approve.

Bolawa IT Solutions Limited app

Warm regards.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/74
75,PinterestIvania,Ivânia,2026-06-15T10:20:34.933Z,"@annalorekfoto @million_hot @Remontostroy @holdmomentscontact @seanmwill2468100001 @hadanoteofficial @holisticsouljourney @partydressesaustralia @yuki88231910 @akinbolawa90

Hi all, and welcome to our newest members!

At this time, we’re unable to provide an exact turnaround time, but our team will review your request and respond as soon as possible.

We really appreciate your patience, and please feel free to reach out if any other questions come up.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/75
76,bucketlistburkes,Bucketlistburkes,2026-06-15T16:59:17.587Z,"Hi Pinterest Developer Team,

I’m requesting a review of my pending Trial access application.

• App name: BucketListBurkes Pin Scheduler

• Submitted: June 12, 2026 (still showing “Trial access pending”)

• Developer type: First-party / single account — for my own use only

Use case: This app schedules and publishes pins for my own Etsy store

(single shop, owner-operated). Once a week it creates 2–4 pins promoting

my Etsy listings — each with a product image, a short description, and a

link back to the listing. Every pin is human-reviewed and approved before

publishing. It posts only to boards owned by my account, on behalf of my

account only — no third-party users.

Scopes requested: pins:write, pins:read, boards:read, user_accounts:read

It’s been pending for several days with no status change. Could you please

review when you have a chance? Happy to provide any additional detail.

Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/76
77,SacredHomeStudios,Sacred Home Studios,2026-06-16T01:54:47.625Z,"Hi Pinterest team,

My app is stuck in “trial access pending” and can’t make any v5 API calls.

App name: SacredHomeStudios Marketing

Account: Business account (SacredHomeStudios)

Symptoms:

The app secret shows “Unavailable while trial access pending.”

Every v5 endpoint returns HTTP 401, code 3: “Your application consumer type is

not supported, please contact support.” This includes GET /v5/user_account,

GET /v5/pins, and GET /v5/boards.

The same error occurs on both production and sandbox, so it isn’t an environment or token issue.

Use case: I want to publish organic Pins for my own business (a scripture wall-art

shop) and read analytics for my own Pins. It is all first-party, no third-party data access.

Could you please activate trial access? Happy to provide any

additional details. Thank you!

Camden",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/77
78,focolaserdesign,Focolaserdesign,2026-06-15T20:48:03.999Z,"My app has been stuck in “trial access pending” status.

The app secret shows “Unavailable while trial access pending”, and every

v5 endpoint returns HTTP 401 code 3: “Your application consumer type is

not supported, please contact support.” — on BOTH production

(api.pinterest.com) and sandbox (api-sandbox.pinterest.com), with both

sandbox and limited-production tokens.

App purpose: automatically publish our own product photos to our Pinterest

Business boards, organized by category, on a schedule. We are an e-commerce

business (Foco Laser — focolaser.com.br) selling personalized laser-cut

products. Auth is OAuth 2.0 (Authorization Code). Scopes: boards:read,

pins:read, pins:write.

Could you please activate trial access so we can start

integrating? Happy to provide any additional info. Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/78
79,PinterestFernanda,Fernanda,2026-06-16T08:02:52.766Z,"Hi there @bucketlistburkes, @SacredHomeStudios and @focolaserdesign!

Thank you for reaching out here at the PBC! We don’t have an exact turnaround time, but our team is working diligently to respond as soon as they can to review and respond your requests.

Thank you for your patience at this time. Please, let us know if you have any questions in the meantime!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/79
80,johb2498,Johb2498,2026-06-16T09:10:34.622Z,"Hi Pinterest Developer Team,

Could you please review and approve Trial access for my app? It has been in “Trial access pending” status since June 5, 2026 (about 11 days now) with no status update.

App details:

App name: harukapin

Business account website: https://first-money-guide.com

Use case: I publish Pins for my own blog articles to my own Pinterest business account through the API (Pin creation / scheduled posting). This is a personal, single-account app — it does not act on other users’ accounts.

Thank you for your help.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/80
81,PinterestIvania,Ivânia,2026-06-16T17:00:42.466Z,"Hey @access10301, and welcome to the PBC!

Thank you for sharing this information. We don’t have an exact turnaround time, but our team will review your request and respond as soon as possible!

Thanks for your patience, and please let us know if you have any questions in the meantime!",80,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/81
82,clabadji,Clabadji,2026-06-16T18:30:30.925Z,"Hi, my app ( “Claude Connect”) is stuck in “Trial access pending”. All v5 endpoints (/user_account, /boards, /pins) return 401 code 3 “Your application consumer type is not supported”. The app secret is unavailable and the redirect URI is greyed out. My account is a business account. Use case: read-only access to my own boards and pins for personal design-reference organization. Could you please activate trial access / unblock the app? Thank you.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/82
83,ANTIKHOLZPL,Antikholzpl,2026-06-16T19:44:37.187Z,"Hi, My app Antik Holz Charaziński Contents has been in “Trial access pending” status for over 7 days. The application includes:

Company website: [link]

Privacy policy: [link]

Use case: publishing our own product photos to our company Pinterest account @ANTIKHOLZPL using Pinterest API v5

Could a Pinterest team member please review and activate trial access? Thank you.

Dawid",,2,https://community.pinterest.biz/t/update-developer-app-approvals/45527/83
84,SterenFromCornwall,Steren From Cornwall,2026-06-16T19:54:26.110Z,"Hi Pinterest team,

My app has been in “trial access pending” for several days. The app secret still

shows “Unavailable while trial access pending,” and every v5 endpoint returns

HTTP 401 “application consumer type is not supported” — including a simple

GET /v5/user_account on my own account.

Could you please activate trial access for my app?

App name: MysticCornwall Pin Performance

Pinterest account: [@MysticCornwall]

Use case: read-only analytics for my own organic Pins (scopes pins:read,

boards:read). Single user (the account owner). No third-party data, no

content publishing, no ads.

Thank you very much for your help.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/84
85,militellodaniele022018,Militellodaniele022018,2026-06-17T00:23:31.631Z,"Titolo: Trial access activation request

Hi Pinterest team, my app is stuck in “trial access pending” and all v5 endpoints return HTTP 401, code 3 (“consumer type is not supported”). The app secret shows “unavailable while trial access pending.”

Account: Business account

Use case: internal market/trend analysis for product research (reading trending keywords and categories)

Scopes: ads:read, pins:read

Could you please review and activate trial access? Thank you.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/85
86,PinterestIvania,Ivânia,2026-06-17T08:52:38.492Z,"@clabadji @ANTIKHOLZPL @SterenFromCornwall @militellodaniele022018

Hi all, and welcome to the Community!

At this time, we’re not able to provide an exact turnaround time, but please know the team is diligently working through requests.

We really appreciate your patience. In the meantime, feel free to let us know if any questions come up.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/86
87,sosuites,Sosuites,2026-06-17T09:53:49.870Z,"Hi, my newly created app returns error code 3 “Your application consumer type is not supported” on all v5 endpoints (/user_account, /boards). The app secret shows “Unavailable while trial access pending”. Could you please manually activate trial access? Thank you.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/87
88,arun5329,Arun5329,2026-06-17T13:58:38.177Z,"App name: hotspot

Account type: Business

Every v5 endpoint returns HTTP 401, code 3:

“Your application consumer type is not supported, please contact support.”

This happens on both production and sandbox, with the production-limited token.

The app secret shows “Unavailable while trial access pending.”

Please activate trial access for this app.

Use case: read-only retrieval of public eyewear/fashion imagery via /search/pins

and board/pin reads, for an internal visual trend-analysis prototype. Read-only;

no posting, no user data collection.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/88
89,PinterestIvania,Ivânia,2026-06-17T16:35:34.691Z,"Hey @sosuites and @arun5329, welcome to the Community!

Thank you for sharing details about this situation. We’re not able to provide an exact turnaround time at the moment, but our team is reviewing your request and will follow up as soon as possible.

Thanks for your patience at this time, and please let me know if we can help with anything else!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/89
90,PinterestAnna,Anna,2026-06-17T18:36:38.052Z,"Hey Pinterest Developer Community! Another kind reminder:

We wanted to reach out to acknowledge that we are aware of current delays in the app approval process, and we sincerely apologize for any disruption this may be causing to your development timelines.

Unfortunately, we cannot speed up the process at this time so we appreciate your patience in advance!
Our team is actively working to resolve the backlog and get things moving as quickly as possible. We understand how important timely access is to building and launching your integrations, and we take that seriously.

In the meantime, if you have an urgent need, please don’t hesitate to submit a support ticket and flag it as high priority. Our support team will do their best to triage urgent cases as quickly as possible.

Please note that unfortunately, we cannot speed up the process at this time so we appreciate your patience in advance! If you leave a comment or a post, please do not include your App ID or email address for privacy purposes — you may include them in your ticket as those are private to our support team!
For updates on your trial request, submit a support ticket: https://help.pinterest.com/en/contact

We appreciate your patience and continued partnership with Pinterest. We’ll share further updates as the situation progresses.",,4,https://community.pinterest.biz/t/update-developer-app-approvals/45527/90
91,mrscrochetworld,Mrscrochetworld,2026-06-17T20:53:14.782Z,"Hi Pinterest team, I submitted a Standard access upgrade request for my app about 10 days ago and it still shows as pending, so I wanted to kindly ask for a review. App name: MrsCrochetWorld Agent App. Current access: Trial (active and working well for several weeks). Request type: upgrade to Standard access. My submission included the required demo video showing the full OAuth authentication flow and a live API call, as well as a publicly accessible privacy policy on our own domain. Could you please check the status of this request or let me know if any additional information is needed? Thank you very much for your help!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/91
92,s2almagemea,S2almagemea,2026-06-17T21:52:34.122Z,"Hello Pinterest team,

My newly created app is stuck in “trial access pending” and every v5 endpoint

(GET /v5/user_account, /v5/boards, /v5/pins) returns HTTP 401 code 3:

“Your application consumer type is not supported, please contact support.”

The app secret also shows “Unavailable while trial access pending.”

Could you please activate trial access for:

Use case: organic content management (create/read pins and boards) + analytics

Account type: business

Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/92
93,falecomalolucro,Falecomalolucro,2026-06-18T07:56:43.467Z,"Hi team! My newly created app is stuck in “trial access pending” — every v5 endpoint returns HTTP 401 code 3: “Your application consumer type is not supported, please contact support.” The app secret shows “Unavailable while trial access pending.”

Could you please activate trial access for this app?

• Business: Alô, Lucro! (Antes & Depois) — a WhatsApp assistant for home bakers in Brazil

• Account type: Business

• Scope needed: user_accounts:read

• Use case: read Pinterest Trends (trending keywords for Brazil) to suggest product ideas inside the assistant. Read-only.

Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/93
94,deco_petit_espace,Deco Petit Espace,2026-06-18T08:52:24.284Z,"Hi Pinterest team,

My app is stuck in “Trial access pending”. The app secret shows “Unavailable while trial access pending”, and every v5 endpoint (including GET /v5/boards) returns HTTP 401, code 3: “Your application consumer type is not supported, please contact support.” This happens with the Production Limited token.

App Name: PetitEspaceDeco_Auto

Account type: Business

Use case: Automating publication of my own content to my own Pinterest boards.

Could you please manually activate Trial access for this app? Thank you.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/94
95,PinterestFernanda,Fernanda,2026-06-18T15:01:44.302Z,"Hey @mrscrochetworld, @s2almagemea, @falecomalolucro and @deco_petit_espace!

We don’t have an exact turnaround time, but our team will review your requests and respond as soon as possible. This post by @PinterestHaley includes additional details on developer app approvals. Thanks for your patience with this!

You can also check this reply from one of our Community Managers for further guidance.

Feel free to reach if you have any questions in the meantime!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/95
96,tompat79,Tompat79,2026-06-18T21:38:28.185Z,"Hi Pinterest team,

My newly created app is stuck in “Trial access pending”. Every v5 API call (e.g. GET /v5/user_account) returns 401 code 3: “Your application consumer type is not supported, please contact support.” The App secret also shows “Unavailable while trial access pending”.

App name: tom&pat Pins

Business account, verified domain tom-pat.de (claimed)

Use case: managing my own boards and pins for my Shopify shop (creating and organizing pins, linking them to product pages; read + write boards and pins).

Could you please activate trial access for this app? Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/96
97,PortalEducativo10,Portal Educativo10,2026-06-19T07:51:37.005Z,"Hi Pinterest team,

My app has been in “Trial access pending” for over two weeks

with no response. I understand Trial access is usually granted within 1–2 business

days, so I believe it may be stuck in the queue.

Use case (fully compliant): we are an educational content publisher and want to

use the API v5 to publish our OWN original, free educational printables to our OWN

Pinterest Business account and boards. No scraping, no posting to other accounts,

no bulk spam — only our own free resources through the official OAuth flow.

Could a moderator please help review and grant Trial access?

Thank you so much!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/97
98,0lhi2fx3omwgxcx2eov71xhiseg8ts,0lhi2fx3omwgxcx2eov71xhiseg8ts,2026-06-19T08:32:40.951Z,"Hello Pinterest Developer Support,

My app is stuck in Trial access pending for approximately 2 weeks now.

App name: annabeljeuring-boards

Use case: I am a professional portrait photographer based in the Netherlands. This app is used exclusively to automatically publish photos from my own portfolio to my own Pinterest boards, as part of my website’s content workflow. No third-party accounts are involved.

Could you please review and activate the app?

Thank you.

Annabel",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/98
99,PinterestIvania,Ivânia,2026-06-19T09:10:41.238Z,"@tompat79 @PortalEducativo10 @0lhi2fx3omwgxcx2eov71xhiseg8ts

Hi everyone, and welcome to the Community!

Our team is currently reviewing approval requests. While we can’t share an exact timeline right now, your request will be reviewed as soon as possible. Thank you for your patience.

For more information, please see this reply from one of our Community Managers. If you have any questions, feel free to reach out.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/99
100,dyn07kz,Dyn07kz,2026-06-19T10:08:47.516Z,"Hello Pinterest Developers team,

Could you please manually review and activate trial access for my app? It has been pending since June 14, 2026.

App name: SprayArtAutopost

Account type: Business

Use case: creating and scheduling organic Pins on my own verified business account (canvas spray-art paintings shop), linking to my claimed website art.kissmyhands.ru

Scopes needed: pins:read, pins:write, boards:read, boards:write, user_accounts:read

Current state: app secret shows “Unavailable while trial access pending” and the Redirect URI field is greyed out — same situation as other recently pending apps. The website is already claimed and verified.

Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/100
101,brokerchampionofficial,Brokerchampionofficial,2026-06-19T16:27:26.674Z,"Hi Pinterest team,

I submitted my app for Standard access on June 8, 2026, and the status has been stuck on “Upgrade to Standard access pending” for 11 days now. Could you please check on the review status?

App details:

App name: BrokerChampion Auto-Poster

Account: @brokerchampionofficial (BUSINESS account)

Use case: This is a first-party tool that publishes our OWN original educational content (broker-review pin graphics) to our OWN single business account on a fixed daily schedule, via the v5 API (POST /v5/pins). It is not a multi-tenant product and collects no third-party data.

Requested scopes: boards:read, boards:write, pins:read, pins:write, user_accounts:read

I provided the use-case description, a demo video of the OAuth flow plus a live authenticated GET /v5/user_account call, and our privacy policy (Privacy Policy — Brokerchampion) with the submission.

If anything in the application needs clarification or correction, I’m happy to provide it right away. Thank you for your help!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/101
102,PinterestIvania,Ivânia,2026-06-19T16:55:17.678Z,"Hi @dyn07kz and @brokerchampionofficial, welcome to the Community!

Thank you both for sharing this information. Please note that we don’t have an exact turnaround time, but our team will review your request and respond as soon as possible!

Thank you for your patience, and please let us know if you have any questions in the meantime!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/102
103,ANTIKHOLZPL,Antikholzpl,2026-06-21T12:30:07.905Z,any update on this topic ?,86,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/103
104,arcturus9dcouncilhiro,Arcturus9dcouncilhiro,2026-06-20T03:26:17.209Z,"Hello Pinterest team,

Our Standard access upgrade request has been showing “pending” since May 26, 2026 (about 25 days), well beyond the typical 1-3 business day review window, with no status change and no follow-up request for additional materials.

Business account: arcturus9dcouncilhiro

Our business website is verified/claimed in the account, and a privacy policy is published (both are set in the app details).

Use case: automated daily publishing of our own original content to our own first-party Pinterest business account only (single account, about 1 pin per day). We do not access or store any third-party user data, and users are taken through the OAuth flow appropriately.

Could you please review the request or advise on next steps? A short screen recording of the OAuth flow and the API calls is available on request. Thank you very much.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/104
105,Remontostroy,Remontostroy,2026-06-20T22:02:48.937Z,"Dear Pinterest Developer Support Team,

I hope this message finds you well.

I am writing to kindly request an expedited review of my applications for standard (production) access to the Pinterest API. I have already completed the initial testing phase and have now submitted the formal requests for full access.

I have thoroughly reviewed Pinterest’s API policies and ensured that all required information is provided. I am fully prepared to proceed with integration and would greatly appreciate any assistance in moving the review forward.

If any additional details or actions are needed from my side, please do not hesitate to let me know. I am happy to supply them promptly.

Thank you for your time and support. I look forward to your positive response.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/105
106,Mafrenesiedecoration,Mafrenesiedecoration,2026-06-22T07:51:20.567Z,"Hi Pinterest Developer team,

My app “Mafrenesie Tools” has been showing “Upgrade to Standard access — pending” for a long time, with no further communication after the initial submission. Trial access is active, but the upgrade has not progressed.

I submitted the required demo video with my original Standard access application, and the portal shows no rejection or requested changes — only the pending state. There is nothing indicated as missing on my side.

Could you please check the status of this request and either let me know if anything else is required, or help move it forward? I’d really appreciate an update.

App name: Mafrenesie Tools

Redirect URI: https://pinterest-demo-alpha.vercel.app/

Intended use: publishing and scheduling product Pins for my own e-commerce store (mafrenesidecoration.com).

Thank you for your help.

@PinterestGabby @PinterestLeslie",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/106
107,noahtf0302,Noahtf0302,2026-06-22T07:51:25.189Z,"Hello Pinterest team,

My newly created app is stuck in “Trial access pending”.

Every v5 API call (e.g. GET /v5/boards) returns 401:

“Your application consumer type is not supported, please contact support.”

App name: Luxe Story Tool

Use case: Personal tool to retrieve my own followed boards’ new pins

for content preparation (read-only, boards:read and pins:read scopes).

Could you please activate trial access for this app?

Thank you.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/107
108,DimaKozminykh,Dima Kozminykh,2026-06-22T07:51:30.742Z,"Hi Pinterest Developer Team,

I submitted my app for Trial access and it has been pending for some time without a response.

App details:

App Name: Kozminykh Autopost

Use case: I am a professional photographer based in Tver, Russia. I want to use the Pinterest API exclusively to automate organic Pin publishing to my own Pinterest business account (DimaKozminykh). This is not a third-party app — it only acts on behalf of my own account to promote my photography work.

Could you please review the status of my application or send me a direct link to file a support ticket?

Thank you for your time!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/108
109,PinterestIvania,Ivânia,2026-06-22T10:03:08.436Z,"@ANTIKHOLZPL @arcturus9dcouncilhiro @Remontostroy @Mafrenesiedecoration @noahtf0302 @DimaKozminykh

Hi all, and welcome to our newest members!

We’re so glad you’re here and appreciate everyone’s patience as our team works through approval requests. While we’re not able to share an exact timeline right now, please know that each request will be reviewed as soon as possible.

Thanks again for your patience, and if any questions come up, please feel free to reach out.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/109
110,hogaroo,Hogaroo,2026-06-22T14:10:06.549Z,"Title: Trial access pending over 2 weeks

Body: Hi Pinterest team, our app (“Hogaroo Marketing”, account @hogaroo) has been stuck in Trial access pending review for over a week. It’s a simple first-party use case: publishing our own product catalog and blog content to our own single business account (hogaroo.es). All required fields are completed and our privacy policy (Política de Privacidad | Hogaroo) is live and accessible. Could you please review and approve our Trial access? Thank you.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/110
111,albuquerque2800,Albuquerque2800,2026-06-22T15:30:52.989Z,"Hi, my app (App ID 1583499) is stuck in “Trial access pending” and every v5 API

call returns 401: “Your application consumer type is not supported, please contact

support.” The associated Pinterest account is a Business account. Could you please

activate trial access for this app? Thank you.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/111
